,time
709,1952
710,1955
711,1956
712,1960
713,1962
714,1963
715,1967
716,1968
717,1971
718,1972
719,1976
720,1977
721,1979
722,1981
723,1982
724,1983
725,1986
726,1989
727,1994
728,1999
729,2020
730,2021
731,2050
732,2051
733,2052
734,2053
735,2054
736,2056
737,2057
738,2065
739,2066
740,2068
741,2070
742,2071
743,2074
744,2075
745,2078
746,2080
747,2083
748,2084
749,2085
750,2086
751,2087
752,2088
753,2089
754,2096
755,2124
756,2125
757,2136
758,2138
759,2141
760,2148
761,2150
762,2152
763,2156
764,2157
765,2172
766,2191
767,2193
768,2195
769,2196
770,2197
771,2200
772,2209
773,2210
774,2213
775,2214
776,2215
777,2216
778,2217
779,2218
780,2219
781,2220
782,2221
783,2222
784,2223
785,2225
786,2226
787,2227
788,2228
789,2229
790,2230
791,2232
792,2233
793,2234
794,2236
795,2237
796,2239
797,2244
798,2261
799,2273
800,2274
801,2277
802,2283
803,2284
804,2285
805,2286
806,2287
807,2288
808,2289
809,2290
810,2291
811,2292
812,2293
813,2294
814,2295
815,2296
816,2297
817,2298
818,2299
819,2300
820,2302
821,2303
822,2304
823,2305
824,2306
825,2307
826,2308
827,2309
828,2310
829,2311
830,2312
831,2313
832,2314
833,2315
834,2317
835,2318
836,2321
837,2327
838,2329
839,2333
840,2336
841,2337
842,2342
843,2343
844,2346
845,2348
846,2354
847,2355
848,2363
849,2366
850,2368
851,2369
852,2370
853,2372
854,2373
855,2375
856,2378
857,2379
858,2381
859,2383
860,2384
861,2385
862,2388
863,2391
864,2393
865,2396
866,2398
867,2400
868,2401
869,2411
870,2415
871,2419
872,2424
873,2426
874,2431
875,2432
876,2434
877,2436
878,2438
879,2439
880,2441
881,2442
882,2443
883,2444
884,2445
885,2447
886,2448
887,2452
888,2458
889,2459
890,2463
891,2466
892,2467
893,2468
894,2470
895,2472
896,2473
897,2476
898,2480
899,2483
900,2489
901,2490
902,2492
903,2493
904,2502
905,2506
906,2507
907,2509
908,2510
909,2513
910,2514
911,2516
912,2523
913,2532
914,2544
915,2548
916,2551
917,2555
918,2557
919,2561
920,2562
921,2564
922,2566
923,2571
924,2572
925,2575
926,2578
927,2579
928,2581
929,2623
930,2650
931,2657
932,2659
933,2661
934,2662
935,2668
936,2671
937,2672
938,2673
939,2678
940,2684
941,2686
942,2689
943,2691
944,2699
945,2701
946,2714
947,2716
948,2717
949,2720
950,2733
951,2735
952,2741
953,2742
954,2743
955,2747
956,2748
957,2751
958,2757
959,2758
960,2773
961,2775
962,2778
963,2779
964,2798
965,2799
966,2808
967,2810
968,2811
969,2820
970,2822
971,2823
972,2824
973,2826
974,2827
975,2830
976,2832
977,2840
978,2843
979,2852
980,2854
981,2858
982,2860
983,2865
984,2867
985,2868
986,2870
987,2871
988,2888
989,2893
990,2897
991,2899
992,2902
993,2903
994,2907
995,2908
996,2909
997,2914
998,2917
999,2918
1000,2920
1001,2921
1002,2922
1003,2923
1004,2924
1005,2930
1006,2931
1007,2932
1008,2935
1009,2939
1010,2985
1011,2986
1012,2987
1013,2988
1014,2989
1015,2991
1016,2993
1017,2995
1018,2998
1019,3002
1020,3003
1021,3004
1022,3006
1023,3007
1024,3008
1025,3013
1026,3014
1027,3016
1028,3019
1029,3020
1030,3024
1031,3025
1032,3026
1033,3028
1034,3041
1035,3044
1036,3046
1037,3048
1038,3055
1039,3063
1040,3067
1041,3071
1042,3074
1043,3080
1044,3081
1045,3087
1046,3090
1047,3093
1048,3094
1049,3099
1050,3100
1051,3102
1052,3105
1053,3106
1054,3108
1055,3110
1056,3112
1057,3122
1058,3123
1059,3128
1060,3129
1061,3130
1062,3131
1063,3135
1064,3136
1065,3137
1066,3141
1067,3142
1068,3143
1069,3169
1070,3174
1071,3176
1072,3177
1073,3178
1074,3179
1075,3180
1076,3181
1077,3182
1078,3184
1079,3187
1080,3194
1081,3195
1082,3200
1083,3202
1084,3210
1085,3216
1086,3218
1087,3220
1088,3235
1089,3237
1090,3239
1091,3243
1092,3245
1093,3246
1094,3247
1095,3248
1096,3250
1097,3252
1098,3253
1099,3254
1100,3255
1101,3256
1102,3257
1103,3258
1104,3259
1105,3261
1106,3262
1107,3263
1108,3269
1109,3270
1110,3272
1111,3273
1112,3283
1113,3289
1114,3290
1115,3291
1116,3293
1117,3297
1118,3298
1119,3299
1120,3302
1121,3304
1122,3307
1123,3310
1124,3311
1125,3337
1126,3352
1127,3360
1128,3361
1129,3364
1130,3365
1131,3366
1132,3369
1133,3371
1134,3377
1135,3379
1136,3380
1137,3382
1138,3385
1139,3387
1140,3388
1141,3389
1142,3390
1143,3391
1144,3392
1145,3393
1146,3394
1147,3395
1148,3396
1149,3397
1150,3398
1151,3399
1152,3400
1153,3401
1154,3402
1155,3403
1156,3404
1157,3405
1158,3406
1159,3407
1160,3408
1161,3409
1162,3410
1163,3411
1164,3412
1165,3413
1166,3414
1167,3415
1168,3416
1169,3417
1170,3418
1171,3419
1172,3420
1173,3421
1174,3422
1175,3423
1176,3424
1177,3425
1178,3426
1179,3427
1180,3428
1181,3429
1182,3430
1183,3431
1184,3432
1185,3433
1186,3434
1187,3435
1188,3436
1189,3437
1190,3438
1191,3439
1192,3440
1193,3441
1194,3442
1195,3443
1196,3444
1197,3445
1198,3448
1199,3450
1200,3451
1201,3455
1202,3456
1203,3457
1204,3458
1205,3459
1206,3460
1207,3461
1208,3462
1209,3463
1210,3464
1211,3465
1212,3466
1213,3467
1214,3468
1215,3469
1216,3470
1217,3471
1218,3475
1219,3477
1220,3497
1221,3503
1222,3537
1223,3557
1224,3559
1225,3569
1226,3574
1227,3576
