,time
743,1789
744,1790
745,1791
746,1792
747,1793
748,1794
749,1796
750,1802
751,1805
752,1806
753,1807
754,1816
755,1843
756,1852
757,1853
758,1854
759,1859
760,1861
761,1862
762,1868
763,1870
764,1871
765,1873
766,1874
767,1875
768,1876
769,1878
770,1879
771,1884
772,1889
773,1890
774,1891
775,1896
776,1898
777,1899
778,1901
779,1903
780,1904
781,1908
782,1911
783,1913
784,1916
785,1919
786,1920
787,1943
788,1953
789,1955
790,1957
791,1966
792,1973
793,1976
794,1977
795,1981
796,1982
797,1986
798,1987
799,1990
800,1993
801,1999
802,2000
803,2005
804,2008
805,2009
806,2012
807,2017
808,2018
809,2019
810,2022
811,2024
812,2025
813,2026
814,2027
815,2030
816,2031
817,2032
818,2034
819,2035
820,2036
821,2037
822,2038
823,2039
824,2046
825,2047
826,2049
827,2050
828,2051
829,2052
830,2054
831,2055
832,2056
833,2059
834,2060
835,2062
836,2063
837,2072
838,2073
839,2074
840,2079
841,2081
842,2082
843,2084
844,2087
845,2088
846,2091
847,2094
848,2101
849,2105
850,2107
851,2109
852,2112
853,2114
854,2116
855,2117
856,2120
857,2123
858,2124
859,2126
860,2129
861,2136
862,2145
863,2148
864,2154
865,2159
866,2168
867,2171
868,2172
869,2173
870,2201
871,2205
872,2206
873,2210
874,2214
875,2216
876,2217
877,2224
878,2233
879,2239
880,2243
881,2244
882,2245
883,2246
884,2248
885,2249
886,2250
887,2259
888,2261
889,2264
890,2265
891,2267
892,2268
893,2271
894,2274
895,2277
896,2287
897,2292
898,2294
899,2297
900,2298
901,2299
902,2300
903,2301
904,2306
905,2308
906,2310
907,2313
908,2314
909,2315
910,2318
911,2321
912,2322
913,2325
914,2327
915,2330
916,2331
917,2333
918,2336
919,2348
920,2352
921,2353
922,2357
923,2359
924,2361
925,2363
926,2396
927,2397
928,2398
929,2399
930,2510
931,2512
932,2513
933,2514
934,2516
935,2518
936,2519
937,2520
938,2521
939,2522
940,2523
941,2524
942,2526
943,2527
944,2545
945,2546
946,2549
947,2555
948,2558
949,2561
950,2562
951,2563
952,2565
953,2566
954,2570
955,2573
956,2574
957,2575
958,2577
959,2579
960,2580
961,2587
962,2588
963,2597
964,2598
965,2601
966,2603
967,2607
968,2609
969,2610
970,2614
971,2618
972,2620
973,2621
974,2623
975,2625
976,2626
977,2627
978,2632
979,2634
980,2636
981,2638
982,2651
983,2659
984,2663
985,2666
986,2672
987,2675
988,2678
989,2679
990,2682
991,2686
992,2687
993,2688
994,2690
995,2693
996,2695
997,2696
998,2697
999,2698
1000,2701
1001,2709
1002,2717
1003,2719
1004,2721
1005,2723
1006,2724
1007,2725
1008,2727
1009,2728
1010,2729
1011,2731
1012,2732
1013,2733
1014,2734
1015,2735
1016,2736
1017,2737
1018,2738
1019,2739
1020,2740
1021,2741
1022,2742
1023,2743
1024,2744
1025,2745
1026,2746
1027,2747
1028,2748
1029,2749
1030,2750
1031,2751
1032,2752
1033,2753
1034,2754
1035,2755
1036,2756
1037,2757
1038,2758
1039,2759
1040,2760
1041,2761
1042,2762
1043,2763
1044,2764
1045,2765
1046,2766
1047,2767
1048,2768
1049,2769
1050,2770
1051,2771
1052,2772
1053,2773
1054,2774
1055,2775
1056,2776
1057,2777
1058,2778
1059,2779
1060,2780
1061,2781
1062,2782
1063,2783
1064,2784
1065,2785
1066,2786
1067,2787
1068,2788
1069,2789
1070,2790
1071,2791
1072,2792
1073,2793
1074,2794
1075,2795
1076,2796
1077,2797
1078,2800
1079,2805
1080,2806
1081,2807
1082,2808
1083,2811
1084,2812
1085,2813
1086,2814
1087,2816
1088,2820
1089,2825
1090,2827
1091,2828
1092,2831
1093,2832
1094,2833
1095,2836
1096,2839
1097,2840
1098,2842
1099,2843
1100,2844
1101,2845
1102,2846
1103,2851
1104,2853
1105,2856
1106,2858
1107,2862
1108,2863
1109,2866
1110,2867
1111,2868
1112,2870
1113,2871
1114,2872
1115,2874
1116,2877
1117,2878
1118,2879
1119,2882
1120,2884
1121,2886
1122,2900
1123,2901
1124,2904
1125,2905
1126,2906
1127,2920
1128,2928
1129,2930
1130,2932
1131,2935
1132,2939
1133,2941
1134,2942
1135,2945
1136,2946
1137,2947
1138,2950
1139,2951
1140,2952
1141,2953
1142,2954
1143,2955
1144,2956
1145,2957
1146,2959
1147,2960
1148,2961
1149,2964
1150,2965
1151,2966
1152,2967
1153,2968
1154,2969
1155,2970
1156,2971
1157,2972
1158,2973
1159,2974
1160,2985
1161,2987
1162,2989
1163,2990
1164,2992
1165,2993
1166,2996
1167,2997
1168,3000
1169,3003
1170,3005
1171,3007
1172,3011
1173,3012
1174,3014
1175,3015
1176,3016
1177,3018
1178,3019
1179,3020
1180,3021
1181,3022
1182,3024
1183,3025
1184,3027
1185,3029
1186,3030
1187,3082
1188,3083
1189,3087
1190,3088
1191,3090
1192,3095
1193,3096
1194,3097
1195,3098
1196,3099
1197,3100
1198,3101
1199,3102
1200,3103
1201,3104
1202,3105
1203,3106
1204,3107
1205,3108
1206,3109
1207,3110
1208,3112
1209,3113
1210,3114
1211,3116
1212,3117
1213,3118
1214,3119
1215,3120
1216,3121
1217,3123
1218,3125
1219,3126
1220,3142
1221,3143
1222,3152
1223,3154
1224,3158
1225,3159
1226,3162
1227,3163
1228,3164
1229,3165
1230,3166
1231,3167
1232,3169
1233,3171
1234,3172
1235,3174
1236,3175
1237,3176
1238,3177
1239,3178
1240,3179
1241,3180
1242,3181
1243,3182
1244,3183
1245,3184
1246,3185
1247,3186
1248,3188
1249,3189
1250,3190
1251,3191
1252,3192
1253,3193
1254,3195
1255,3196
1256,3197
1257,3204
1258,3206
1259,3212
1260,3213
1261,3226
1262,3227
1263,3230
1264,3231
1265,3233
1266,3238
1267,3242
1268,3243
1269,3244
1270,3245
1271,3246
1272,3247
1273,3248
1274,3249
1275,3251
1276,3252
1277,3253
1278,3254
1279,3256
1280,3257
1281,3258
1282,3260
1283,3261
1284,3262
1285,3263
1286,3265
1287,3267
1288,3271
1289,3272
1290,3274
1291,3275
1292,3276
1293,3277
1294,3278
1295,3279
1296,3280
1297,3281
1298,3282
1299,3283
1300,3284
1301,3285
1302,3286
1303,3287
1304,3288
1305,3289
1306,3290
1307,3291
1308,3292
1309,3293
